Date,Type,Count,Note
2025-08-25,22 oz,5,open shift
2025-08-25,16 oz,5,open shift
2025-08-25,12 oz,5,open shift
2025-08-25,8 oz,5,open shift
2025-08-25,TOTAL,20,open shift
2025-08-25,Close,22 oz,50,reach
2025-08-25,Close,16 oz,50,reach
2025-08-25,Close,12 oz,50,reach
2025-08-25,Close,8 oz,50,reach
2025-08-25,Close,TOTAL,200,reach
2025-08-25,Close,22 oz,50,reach
2025-08-25,Close,16 oz,50,reach
2025-08-25,Close,12 oz,50,reach
2025-08-25,Close,8 oz,50,reach
2025-08-25,Close,TOTAL,200,reach
2025-08-25,Open,22 oz,0,
2025-08-25,Open,16 oz,0,
2025-08-25,Open,12 oz,0,
2025-08-25,Open,8 oz,0,
2025-08-25,Open,TOTAL,0,
2025-08-25,Open,22 oz,0,
2025-08-25,Open,16 oz,0,
2025-08-25,Open,12 oz,0,
2025-08-25,Open,8 oz,0,
2025-08-25,Open,TOTAL,0,
2025-09-19,1,,113,38,75,45,39,6,59,45,14,44,44,0,1500,50,1450,0,0,0,95
2025-09-19,1,,114,37,77,46,38,8,59,45,14,44,44,0,1500,50,1450,0,0,0,99
2025-09-19,2,សល់កែវ2,37,6,31,38,36,2,45,41,4,44,42,2,550,100,450,0,0,0,39
2025-09-19,2,សល់កែវ2,37,6,31,38,36,2,45,41,4,44,43,1,550,100,450,0,0,0,38
2025-09-20,1,"ភ្ញៀវដាក់កែវ 6
កែវចែ 3",308,7,301,36,8,28,41,15,26,43,34,9,4600,0,4600,0,0,0,364
2025-09-20,2,,107,28,79,8,2,6,15,9,6,34,30,4,1000,500,500,0,0,0,95
2025-09-21,1,,428,12,416,49,12,37,59,32,27,30,12,18,7000,700,6300,0,0,0,498
2025-09-21,2,"ភ្ញៀវដាក់កែវ 3
បងណាវី 1",165,22,143,62,44,18,32,30,2,12,0,12,1200,350,850,0,0,0,175
2025-09-22,1,ភ្ញៀវដាក់កែវ 17,418,10,408,44,15,29,30,28,2,100,34,66,6350,100,6250,0,0,0,505
2025-09-23,1,ភ្ញៀវដាក់កែវ 17,448,11,437,58,14,44,25,24,1,80,43,37,6300,100,6200,0,0,0,519
2025-09-23,1,,448,11,437,58,14,44,25,24,1,80,43,37,6300,100,6200,0,0,0,519
2025-09-23,2,,113,31,82,14,3,11,24,24,0,43,37,6,600,250,350,0,0,0,99
2025-09-24,1,,331,42,289,53,36,17,24,22,2,87,48,39,5750,1000,4750,0,0,0,347
2025-09-24,2,សល់កែវ5,92,21,71,36,27,9,22,22,0,48,39,9,1500,250,1250,0,0,0,89
2025-09-25,1,"ចែ 1 
រាជ 1
ភ្ញៀវដាក់កែវ 1",126,6,120,27,19,8,22,18,4,39,25,14,1750,200,1550,0,0,0,146
2025-09-26,1,សល់3,78,5,73,17,14,3,18,18,0,23,9,14,1200,100,1100,0,0,0,90
2025-09-27,1,សល់3,169,9,160,61,45,16,18,18,0,51,32,19,3000,700,2300,0,0,0,195
2025-09-27,1,សល់កែវ15,169,9,160,61,45,16,18,18,0,51,32,19,3000,700,2300,0,0,0,195
2025-09-27,2,,24,4,20,45,42,3,18,18,0,32,27,5,700,300,400,0,0,0,28
2025-09-28,1,,154,5,149,42,19,23,18,18,0,27,16,11,1900,300,1600,0,0,0,183
2025-09-28,1,,55,15,40,26,15,11,18,17,1,16,12,4,800,230,570,0,0,0,56
2025-09-29,1,សល់កែវ2,110,47,63,16,13,3,17,16,1,12,1,11,1230,130,1100,0,0,0,78
2025-09-30,1,,76,27,49,10,3,7,16,15,1,49,43,6,1130,350,780,0,0,0,63
2025-09-30,2,,27,17,10,3,3,0,15,15,0,43,39,4,350,250,100,0,0,0,14
2025-10-01,1,,67,26,41,53,46,7,15,12,3,39,32,7,1250,300,950,0,0,0,58
2025-10-01,2,,26,14,12,46,38,8,12,12,0,32,27,5,300,100,200,0,0,0,25
2025-10-02,1,ចែ 1,64,16,48,38,36,2,12,10,2,27,15,12,1100,200,900,0,0,0,64
2025-10-02,2,"Extrashot 1
ភ្ញៀវដាក់កែវ1",66,43,23,36,35,1,10,10,0,15,14,1,700,400,300,0,0,0,25
2025-10-03,1,កែវចែ 2,41,10,31,35,32,3,10,10,0,14,4,10,900,50,850,0,0,0,44
2025-10-03,2,,60,31,29,32,38,-6,10,10,0,4,1,3,900,50,850,550,440,110,26
2025-10-04,1,,188,44,144,31,18,13,10,9,1,51,31,20,0,0,0,0,0,0,178
2025-10-04,1,ភ្ញៀវដាក់កែវ4,238,42,196,31,18,13,10,9,1,51,31,20,4440,200,4240,0,0,0,230
2025-10-04,2,,38,11,27,18,11,7,9,9,0,31,28,3,700,300,400,0,0,0,37
2025-10-05,1,,160,14,146,11,5,6,59,46,13,28,25,3,2800,0,2800,0,0,0,168
2025-10-05,2,,64,49,15,55,49,6,41,42,-1,25,17,8,500,150,350,0,0,0,28
2025-10-05,2,"ភ្ញៀវដាក់កែវ២
",64,49,15,55,49,6,41,42,-1,25,17,8,500,150,350,0,0,0,28
2025-10-06,1,"ដកកែវ
Boss 1
Je 1
Reach01",97,38,59,49,42,7,42,36,6,17,13,4,1000,550,450,0,0,0,76
2025-10-06,2,"ដកកែវ
Boss 1
Je 1
Reach01",37,18,19,42,37,5,36,34,2,13,11,2,550,250,300,0,0,0,28
